[2020-11-15 00:49:24.532 (UTC+0100)] */*	N) 0         61               FolderType       FolderType      

[2020-11-15 00:49:24.532 (UTC+0100)] */*	N) 4         20737            DeviceState      DeviceState     

[2020-11-15 00:49:24.542 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.542 (UTC+0100)] */*	S) 1         PLC1             PLC1             PLC1            

[2020-11-15 00:49:24.552 (UTC+0100)] */*	Browse response
[2020-11-15 00:49:24.552 (UTC+0100)] */*	resp:0
[2020-11-15 00:49:24.552 (UTC+0100)] */*	N) 1         1000             BeckhoffPlcType  BeckhoffPlcType 

[2020-11-15 00:49:24.552 (UTC+0100)] */*	oBjS) 1         PLC1.DeviceManual DeviceManual     DeviceManual    

[2020-11-15 00:49:24.552 (UTC+0100)] */*	oBjS) 1         PLC1.DeviceRevision DeviceRevision   DeviceRevision  

[2020-11-15 00:49:24.552 (UTC+0100)] */*	oBjS) 1         PLC1.HardwareRevision HardwareRevision HardwareRevision

[2020-11-15 00:49:24.552 (UTC+0100)] */*	oBjS) 1         PLC1.Manufacturer Manufacturer     Manufacturer    

[2020-11-15 00:49:24.552 (UTC+0100)] */*	oBjS) 1         PLC1.Model       Model            Model           

[2020-11-15 00:49:24.552 (UTC+0100)] */*	oBjS) 1         PLC1.RevisionCounter RevisionCounter  RevisionCounter 

[2020-11-15 00:49:24.552 (UTC+0100)] */*	oBjS) 1         PLC1.SerialNumber SerialNumber     SerialNumber    

[2020-11-15 00:49:24.552 (UTC+0100)] */*	oBjS) 1         PLC1.SoftwareRevision SoftwareRevision SoftwareRevision

[2020-11-15 00:49:24.552 (UTC+0100)] */*	oBjS) 1         PLC1.Programs    Programs         Programs        

[2020-11-15 00:49:24.559 (UTC+0100)] */*	Browse response
[2020-11-15 00:49:24.559 (UTC+0100)] */*	resp:0
[2020-11-15 00:49:24.559 (UTC+0100)] */*	N) 2         1004             ConfigurableObjectType ConfigurableObjectType

[2020-11-15 00:49:24.559 (UTC+0100)] */*	oBjS) 1         PLC1.Programs.SupportedTypes SupportedTypes   SupportedTypes  

[2020-11-15 00:49:24.566 (UTC+0100)] */*	Browse response
[2020-11-15 00:49:24.566 (UTC+0100)] */*	resp:0
[2020-11-15 00:49:24.566 (UTC+0100)] */*	N) 0         61               FolderType       FolderType      

[2020-11-15 00:49:24.566 (UTC+0100)] */*	oBjS) 1         PLC1.Tasks       Tasks            Tasks           

[2020-11-15 00:49:24.574 (UTC+0100)] */*	Browse response
[2020-11-15 00:49:24.574 (UTC+0100)] */*	resp:0
[2020-11-15 00:49:24.574 (UTC+0100)] */*	N) 2         1004             ConfigurableObjectType ConfigurableObjectType

[2020-11-15 00:49:24.574 (UTC+0100)] */*	oBjS) 1         PLC1.Tasks.SupportedTypes SupportedTypes   SupportedTypes  

[2020-11-15 00:49:24.581 (UTC+0100)] */*	Browse response
[2020-11-15 00:49:24.581 (UTC+0100)] */*	resp:0
[2020-11-15 00:49:24.581 (UTC+0100)] */*	N) 0         61               FolderType       FolderType      

[2020-11-15 00:49:24.581 (UTC+0100)] */*	N) 4         20737            DeviceState      DeviceState     

[2020-11-15 00:49:24.588 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.588 (UTC+0100)] */*	N) 6         16               Configuration    Configuration   

[2020-11-15 00:49:24.595 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.602 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.609 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.616 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.623 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.631 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.640 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.648 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.655 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.663 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.670 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.678 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.686 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.693 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.700 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.707 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.714 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.721 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.728 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.735 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.742 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:32.590 (UTC+0100)] */*	Browse method object
[2020-11-15 00:49:38.921 (UTC+0100)] */*	read 16777733.OpenCount

[2020-11-15 00:49:38.944 (UTC+0100)] */*	RD) read OpenCount ok

[2020-11-15 00:49:40.043 (UTC+0100)] */*	read 16777733.Size

[2020-11-15 00:49:40.051 (UTC+0100)] */*	RD) read Size ok

[2020-11-15 00:49:42.527 (UTC+0100)] */*	read PLC1.Model

[2020-11-15 00:49:42.595 (UTC+0100)] */*	RD) read Model ok

[2020-11-15 00:49:43.363 (UTC+0100)] */*	read PLC1.Manufacturer

[2020-11-15 00:49:43.414 (UTC+0100)] */*	RD) read Manufacturer ok

